inventory_type,sectors_sector,category_full,category_label,source_full,source_label,source_units,year,emission_tco2e
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#2 fuel oil,#2 fuel oil,gallon,2016,165684.46
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#4 fuel oil,#4 fuel oil,gallon,2016,29133.35
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#6 fuel oil,#6 fuel oil,gallon,2016,182.1
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Biofuel,Biofuel,gallon,2016,2.17
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Electricity,Electricity,kWh,2016,2889773.18
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Natural gas,Natural gas,SCF,2016,1356309.04
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Steam,Steam,kg,2016,144454.7
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Electricity,Upstream Electricity,kWh,2016,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Steam,Upstream Steam,kg,2016,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Natural gas,Upstream Natural gas,SCF,2016,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Downstream Natural gas,Downstream Natural gas,SCF,2016,0
GPC,Stationary Energy,Fugitive natural gas,Fugitive,CH4 - natural gas distribution,Fugitive CH4,GJ,2016,488414.84
GPC,Transportation,Railways,Railways,Electricity - subway and commuter rail,Electricity,kWh,2016,683094.54
GPC,Transportation,Railways,Railways,Diesel - commuter rail,Diesel,gallon,2016,13728.22
CLCPA Addition,Transportation,Railways,Railways,Upstream Electricity,Upstream Electricity,kWh,2016,0
GPC,Transportation,Marine Navigation,Marine Navigation,Diesel - marine navigation,Marine diesel,gallon,2016,85997.53
GPC,Transportation,Marine Navigation,Marine Navigation,Biofuel,Biofuel,gallon,2016,0
GPC,Transportation,Aviation,Aviation,Jet fuel - aviation,Jet fuel,gallon,2016,2159.43
GPC,Waste,Landfills,Landfills,Exported solid waste - landfills,CH4,MT,2016,1893833.41
GPC,Waste,Biological treatment,Biological treatment,CH4 and N2O - composting,CH4 and N2O from composting,MT,2016,8384.51
GPC,Waste,Wastewater treatment,Wastewater treatment,CH4 - wastewater treatment plants,CH4,MT,2016,115935.88
GPC,Waste,Wastewater treatment,Wastewater treatment,N2O - wastewater treatment plants,N2O,MT,2016,62705.15
GPC,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2016,12437484.31
GPC,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2016,428919.15
GPC,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2016,1345703.82
GPC,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2016,67558.17
GPC,Transportation,On-Road,On-Road,School Bus,School Bus,VMT,2016,67714.77
CLCPA Addition,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2016,0
CLCPA Addition,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2016,1186.2
CLCPA Addition,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2016,664.04
CLCPA Addition,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2016,1445.47
GPC,Transportation,On-Road,On-Road,Bus,Bus,VMT,2016,547879.57
CLCPA Addition,Transportation,On-Road,On-Road,Bus,Bus,VMT,2016,47338.58
GPC,Stationary Energy,Residential (small and large residential),Residential,#2 fuel oil,#2 fuel oil,gallon,2017,1094269
GPC,Stationary Energy,Residential (small and large residential),Residential,#4 fuel oil,#4 fuel oil,gallon,2017,812185.37
GPC,Stationary Energy,Residential (small and large residential),Residential,#6 fuel oil,#6 fuel oil,gallon,2017,10625.71
GPC,Stationary Energy,Residential (small and large residential),Residential,Biofuel,Biofuel,gallon,2017,76.66
GPC,Stationary Energy,Residential (small and large residential),Residential,Electricity,Electricity,kWh,2017,4324533.42
GPC,Stationary Energy,Residential (small and large residential),Residential,Natural gas,Natural gas,SCF,2017,9907746.48
GPC,Stationary Energy,Residential (small and large residential),Residential,Steam,Steam,kg,2017,250268.82
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Electricity,Upstream Electricity,kWh,2017,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Steam,Upstream Steam,kg,2017,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Natural gas,Upstream Natural gas,SCF,2017,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Downstream Natural gas,Downstream Natural gas,SCF,2017,0
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#2 fuel oil,#2 fuel oil,gallon,2017,620084.7
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#4 fuel oil,#4 fuel oil,gallon,2017,144957.81
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#6 fuel oil,#6 fuel oil,gallon,2017,1303.88
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Biofuel,Biofuel,gallon,2017,19.3
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Electricity,Electricity,kWh,2017,6838458.93
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Natural gas,Natural gas,SCF,2017,6089448.28
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Steam,Steam,kg,2017,430822.68
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Electricity,Upstream Electricity,kWh,2017,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Steam,Upstream Steam,kg,2017,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Natural gas,Upstream Natural gas,SCF,2017,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Downstream Natural gas,Downstream Natural gas,SCF,2017,0
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#2 fuel oil,#2 fuel oil,gallon,2017,142955.29
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#4 fuel oil,#4 fuel oil,gallon,2017,31231.68
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#6 fuel oil,#6 fuel oil,gallon,2017,100.68
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Biofuel,Biofuel,gallon,2017,3.43
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Electricity,Electricity,kWh,2017,2505968.35
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Natural gas,Natural gas,SCF,2017,1440069.56
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Steam,Steam,kg,2017,129246.8
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Electricity,Upstream Electricity,kWh,2017,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Steam,Upstream Steam,kg,2017,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Natural gas,Upstream Natural gas,SCF,2017,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Downstream Natural gas,Downstream Natural gas,SCF,2017,0
GPC,Stationary Energy,Fugitive natural gas,Fugitive,CH4 - natural gas distribution,Fugitive CH4,GJ,2017,493695.37
GPC,Transportation,Railways,Railways,Electricity - subway and commuter rail,Electricity,kWh,2017,589804.24
GPC,Transportation,Railways,Railways,Diesel - commuter rail,Diesel,gallon,2017,14742
CLCPA Addition,Transportation,Railways,Railways,Upstream Electricity,Upstream Electricity,kWh,2017,0
GPC,Transportation,Marine Navigation,Marine Navigation,Diesel - marine navigation,Marine diesel,gallon,2017,61049.99
GPC,Transportation,Marine Navigation,Marine Navigation,Biofuel,Biofuel,gallon,2017,0.01
GPC,Transportation,Aviation,Aviation,Jet fuel - aviation,Jet fuel,gallon,2017,2132.1
GPC,Waste,Landfills,Landfills,Exported solid waste - landfills,CH4,MT,2017,1898667.56
GPC,Waste,Biological treatment,Biological treatment,CH4 and N2O - composting,CH4 and N2O from composting,MT,2017,10934.28
GPC,Waste,Wastewater treatment,Wastewater treatment,CH4 - wastewater treatment plants,CH4,MT,2017,89383.73
GPC,Waste,Wastewater treatment,Wastewater treatment,N2O - wastewater treatment plants,N2O,MT,2017,65960.75
GPC,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2017,12484566.31
GPC,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2017,432210.93
GPC,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2017,1362498.68
GPC,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2017,67681.57
GPC,Transportation,On-Road,On-Road,School Bus,School Bus,VMT,2017,67090.43
CLCPA Addition,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2017,0
CLCPA Addition,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2017,1030.4
CLCPA Addition,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2017,1332.19
CLCPA Addition,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2017,2930.25
GPC,Transportation,On-Road,On-Road,Bus,Bus,VMT,2017,532070.52
CLCPA Addition,Transportation,On-Road,On-Road,Bus,Bus,VMT,2017,42847.19
GPC,Stationary Energy,Residential (small and large residential),Residential,#2 fuel oil,#2 fuel oil,gallon,2018,1391243.07
GPC,Stationary Energy,Residential (small and large residential),Residential,#4 fuel oil,#4 fuel oil,gallon,2018,722944.34
GPC,Stationary Energy,Residential (small and large residential),Residential,#6 fuel oil,#6 fuel oil,gallon,2018,48120.13
GPC,Stationary Energy,Residential (small and large residential),Residential,Biofuel,Biofuel,gallon,2018,95.61
GPC,Stationary Energy,Residential (small and large residential),Residential,Electricity,Electricity,kWh,2018,4908552.59
GPC,Stationary Energy,Residential (small and large residential),Residential,Natural gas,Natural gas,SCF,2018,10519436.78
GPC,Stationary Energy,Residential (small and large residential),Residential,Steam,Steam,kg,2018,315402.06
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Electricity,Upstream Electricity,kWh,2018,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Steam,Upstream Steam,kg,2018,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Natural gas,Upstream Natural gas,SCF,2018,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Downstream Natural gas,Downstream Natural gas,SCF,2018,0
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#2 fuel oil,#2 fuel oil,gallon,2018,788369.72
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#4 fuel oil,#4 fuel oil,gallon,2018,129030.18
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#6 fuel oil,#6 fuel oil,gallon,2018,5904.82
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Biofuel,Biofuel,gallon,2018,24.07
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Electricity,Electricity,kWh,2018,7668443.02
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Natural gas,Natural gas,SCF,2018,6068129.88
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Steam,Steam,kg,2018,559159.02
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Electricity,Upstream Electricity,kWh,2018,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Steam,Upstream Steam,kg,2018,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Natural gas,Upstream Natural gas,SCF,2018,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Downstream Natural gas,Downstream Natural gas,SCF,2018,0
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#2 fuel oil,#2 fuel oil,gallon,2018,181751.98
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#4 fuel oil,#4 fuel oil,gallon,2018,27800.02
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#6 fuel oil,#6 fuel oil,gallon,2018,455.96
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Biofuel,Biofuel,gallon,2018,4.27
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Electricity,Electricity,kWh,2018,2822527.53
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Natural gas,Natural gas,SCF,2018,1587816.68
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Steam,Steam,kg,2018,167747.71
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Electricity,Upstream Electricity,kWh,2018,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Steam,Upstream Steam,kg,2018,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Natural gas,Upstream Natural gas,SCF,2018,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Downstream Natural gas,Downstream Natural gas,SCF,2018,0
GPC,Stationary Energy,Fugitive natural gas,Fugitive,CH4 - natural gas distribution,Fugitive CH4,GJ,2018,514593.49
GPC,Transportation,Railways,Railways,Electricity - subway and commuter rail,Electricity,kWh,2018,678642.48
GPC,Transportation,Railways,Railways,Diesel - commuter rail,Diesel,gallon,2018,15101.71
CLCPA Addition,Transportation,Railways,Railways,Upstream Electricity,Upstream Electricity,kWh,2018,0
GPC,Transportation,Marine Navigation,Marine Navigation,Diesel - marine navigation,Marine diesel,gallon,2018,101763.86
GPC,Transportation,Marine Navigation,Marine Navigation,Biofuel,Biofuel,gallon,2018,0
GPC,Transportation,Aviation,Aviation,Jet fuel - aviation,Jet fuel,gallon,2018,1900.53
GPC,Waste,Landfills,Landfills,Exported solid waste - landfills,CH4,MT,2018,1908818.84
GPC,Waste,Biological treatment,Biological treatment,CH4 and N2O - composting,CH4 and N2O from composting,MT,2018,13968.06
GPC,Waste,Wastewater treatment,Wastewater treatment,CH4 - wastewater treatment plants,CH4,MT,2018,139612.07
GPC,Waste,Wastewater treatment,Wastewater treatment,N2O - wastewater treatment plants,N2O,MT,2018,67647.48
GPC,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2018,12805237.63
GPC,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2018,440329.43
GPC,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2018,1417949.74
GPC,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2018,67838.03
GPC,Transportation,On-Road,On-Road,School Bus,School Bus,VMT,2018,66367.04
CLCPA Addition,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2018,0
CLCPA Addition,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2018,876.55
CLCPA Addition,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2018,2623.98
CLCPA Addition,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2018,4579.44
GPC,Transportation,On-Road,On-Road,Bus,Bus,VMT,2018,538990.59
CLCPA Addition,Transportation,On-Road,On-Road,Bus,Bus,VMT,2018,45703.15
GPC,Stationary Energy,Residential (small and large residential),Residential,#2 fuel oil,#2 fuel oil,gallon,2019,1409700.65
GPC,Stationary Energy,Residential (small and large residential),Residential,#4 fuel oil,#4 fuel oil,gallon,2019,627736.15
GPC,Stationary Energy,Residential (small and large residential),Residential,#6 fuel oil,#6 fuel oil,gallon,2019,0
GPC,Stationary Energy,Residential (small and large residential),Residential,Biofuel,Biofuel,gallon,2019,106.09
GPC,Stationary Energy,Residential (small and large residential),Residential,Electricity,Electricity,kWh,2019,4462329.58
GPC,Stationary Energy,Residential (small and large residential),Residential,Natural gas,Natural gas,SCF,2019,10273055.81
GPC,Stationary Energy,Residential (small and large residential),Residential,Steam,Steam,kg,2019,285361.97
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Electricity,Upstream Electricity,kWh,2019,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Steam,Upstream Steam,kg,2019,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Natural gas,Upstream Natural gas,SCF,2019,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Downstream Natural gas,Downstream Natural gas,SCF,2019,0
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#2 fuel oil,#2 fuel oil,gallon,2019,798828.99
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#4 fuel oil,#4 fuel oil,gallon,2019,112037.55
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#6 fuel oil,#6 fuel oil,gallon,2019,0
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Biofuel,Biofuel,gallon,2019,26.7
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Electricity,Electricity,kWh,2019,7020499.64
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Natural gas,Natural gas,SCF,2019,6651450.21
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Steam,Steam,kg,2019,487922.81
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Electricity,Upstream Electricity,kWh,2019,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Steam,Upstream Steam,kg,2019,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Natural gas,Upstream Natural gas,SCF,2019,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Downstream Natural gas,Downstream Natural gas,SCF,2019,0
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#2 fuel oil,#2 fuel oil,gallon,2019,184163.27
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#4 fuel oil,#4 fuel oil,gallon,2019,24138.89
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#6 fuel oil,#6 fuel oil,gallon,2019,0
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Biofuel,Biofuel,gallon,2019,4.74
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Electricity,Electricity,kWh,2019,2587768.26
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Natural gas,Natural gas,SCF,2019,1542988.81
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Steam,Steam,kg,2019,146376.84
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Electricity,Upstream Electricity,kWh,2019,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Steam,Upstream Steam,kg,2019,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Natural gas,Upstream Natural gas,SCF,2019,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Downstream Natural gas,Downstream Natural gas,SCF,2019,0
GPC,Stationary Energy,Fugitive natural gas,Fugitive,CH4 - natural gas distribution,Fugitive CH4,GJ,2019,522863.94
