inventory_type,sectors_sector,category_full,category_label,source_full,source_label,source_units,year,emission_tco2e
GPC,Transportation,Railways,Railways,Electricity - subway and commuter rail,Electricity,kWh,2019,645501.07
GPC,Transportation,Railways,Railways,Diesel - commuter rail,Diesel,gallon,2019,17484.05
CLCPA Addition,Transportation,Railways,Railways,Upstream Electricity,Upstream Electricity,kWh,2019,0
GPC,Transportation,Marine Navigation,Marine Navigation,Diesel - marine navigation,Marine diesel,gallon,2019,98943.63
GPC,Transportation,Marine Navigation,Marine Navigation,Biofuel,Biofuel,gallon,2019,0
GPC,Transportation,Aviation,Aviation,Jet fuel - aviation,Jet fuel,gallon,2019,1683.86
GPC,Waste,Landfills,Landfills,Exported solid waste - landfills,CH4,MT,2019,1911906.96
GPC,Waste,Biological treatment,Biological treatment,CH4 and N2O - composting,CH4 and N2O from composting,MT,2019,13108.46
GPC,Waste,Wastewater treatment,Wastewater treatment,CH4 - wastewater treatment plants,CH4,MT,2019,170557.72
GPC,Waste,Wastewater treatment,Wastewater treatment,N2O - wastewater treatment plants,N2O,MT,2019,65032.84
GPC,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2019,12997213.55
GPC,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2019,439349.82
GPC,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2019,1448966.85
GPC,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2019,67962.6
GPC,Transportation,On-Road,On-Road,School Bus,School Bus,VMT,2019,65551.6
CLCPA Addition,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2019,0
CLCPA Addition,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2019,696.83
CLCPA Addition,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2019,3509.49
CLCPA Addition,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2019,6246.62
GPC,Transportation,On-Road,On-Road,Bus,Bus,VMT,2019,484765.46
CLCPA Addition,Transportation,On-Road,On-Road,Bus,Bus,VMT,2019,35223.08
GPC,Stationary Energy,Residential (small and large residential),Residential,#2 fuel oil,#2 fuel oil,gallon,2020,1003726.23
GPC,Stationary Energy,Residential (small and large residential),Residential,#4 fuel oil,#4 fuel oil,gallon,2020,407438.15
GPC,Stationary Energy,Residential (small and large residential),Residential,#6 fuel oil,#6 fuel oil,gallon,2020,0
GPC,Stationary Energy,Residential (small and large residential),Residential,Biofuel,Biofuel,gallon,2020,95.33
GPC,Stationary Energy,Residential (small and large residential),Residential,Electricity,Electricity,kWh,2020,4219821.64
GPC,Stationary Energy,Residential (small and large residential),Residential,Natural gas,Natural gas,SCF,2020,9770423.83
GPC,Stationary Energy,Residential (small and large residential),Residential,Steam,Steam,kg,2020,245060.6
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Electricity,Upstream Electricity,kWh,2020,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Steam,Upstream Steam,kg,2020,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Natural gas,Upstream Natural gas,SCF,2020,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Downstream Natural gas,Downstream Natural gas,SCF,2020,0
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#2 fuel oil,#2 fuel oil,gallon,2020,568777.22
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#4 fuel oil,#4 fuel oil,gallon,2020,72719.04
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#6 fuel oil,#6 fuel oil,gallon,2020,0
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Biofuel,Biofuel,gallon,2020,24
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Electricity,Electricity,kWh,2020,5866112.46
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Natural gas,Natural gas,SCF,2020,6025296.42
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Steam,Steam,kg,2020,401058.82
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Electricity,Upstream Electricity,kWh,2020,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Steam,Upstream Steam,kg,2020,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Natural gas,Upstream Natural gas,SCF,2020,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Downstream Natural gas,Downstream Natural gas,SCF,2020,0
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#2 fuel oil,#2 fuel oil,gallon,2020,131126.78
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#4 fuel oil,#4 fuel oil,gallon,2020,15667.58
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#6 fuel oil,#6 fuel oil,gallon,2020,0
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Biofuel,Biofuel,gallon,2020,4.26
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Electricity,Electricity,kWh,2020,2130015.71
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Natural gas,Natural gas,SCF,2020,1399494.68
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Steam,Steam,kg,2020,120317.65
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Electricity,Upstream Electricity,kWh,2020,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Steam,Upstream Steam,kg,2020,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Natural gas,Upstream Natural gas,SCF,2020,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Downstream Natural gas,Downstream Natural gas,SCF,2020,0
GPC,Stationary Energy,Fugitive natural gas,Fugitive,CH4 - natural gas distribution,Fugitive CH4,GJ,2020,486842.31
GPC,Transportation,Railways,Railways,Electricity - subway and commuter rail,Electricity,kWh,2020,535884.29
GPC,Transportation,Railways,Railways,Diesel - commuter rail,Diesel,gallon,2020,13344.24
CLCPA Addition,Transportation,Railways,Railways,Upstream Electricity,Upstream Electricity,kWh,2020,0
GPC,Transportation,Marine Navigation,Marine Navigation,Diesel - marine navigation,Marine diesel,gallon,2020,82256.44
GPC,Transportation,Marine Navigation,Marine Navigation,Biofuel,Biofuel,gallon,2020,0
GPC,Transportation,Aviation,Aviation,Jet fuel - aviation,Jet fuel,gallon,2020,1597.59
GPC,Waste,Landfills,Landfills,Exported solid waste - landfills,CH4,MT,2020,1960324.8
GPC,Waste,Biological treatment,Biological treatment,CH4 and N2O - composting,CH4 and N2O from composting,MT,2020,8550.91
GPC,Waste,Wastewater treatment,Wastewater treatment,CH4 - wastewater treatment plants,CH4,MT,2020,74061.74
GPC,Waste,Wastewater treatment,Wastewater treatment,N2O - wastewater treatment plants,N2O,MT,2020,56501.83
GPC,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2020,9961821.7
GPC,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2020,365491.82
GPC,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2020,1352997.6
GPC,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2020,68087.3
GPC,Transportation,On-Road,On-Road,School Bus,School Bus,VMT,2020,64651.68
CLCPA Addition,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2020,0
CLCPA Addition,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2020,427.2
CLCPA Addition,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2020,4400.46
CLCPA Addition,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2020,7299.46
GPC,Transportation,On-Road,On-Road,Bus,Bus,VMT,2020,377994.77
CLCPA Addition,Transportation,On-Road,On-Road,Bus,Bus,VMT,2020,24940.03
GPC,Stationary Energy,Residential (small and large residential),Residential,#2 fuel oil,#2 fuel oil,gallon,2021,977218.37
GPC,Stationary Energy,Residential (small and large residential),Residential,#4 fuel oil,#4 fuel oil,gallon,2021,482042.75
GPC,Stationary Energy,Residential (small and large residential),Residential,#6 fuel oil,#6 fuel oil,gallon,2021,0
GPC,Stationary Energy,Residential (small and large residential),Residential,Biofuel,Biofuel,gallon,2021,79.25
GPC,Stationary Energy,Residential (small and large residential),Residential,Electricity,Electricity,kWh,2021,4801106.85
GPC,Stationary Energy,Residential (small and large residential),Residential,Natural gas,Natural gas,SCF,2021,9684518.27
GPC,Stationary Energy,Residential (small and large residential),Residential,Steam,Steam,kg,2021,190067.35
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Electricity,Upstream Electricity,kWh,2021,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Steam,Upstream Steam,kg,2021,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Natural gas,Upstream Natural gas,SCF,2021,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Downstream Natural gas,Downstream Natural gas,SCF,2021,0
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#2 fuel oil,#2 fuel oil,gallon,2021,553756.12
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#4 fuel oil,#4 fuel oil,gallon,2021,86034.37
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#6 fuel oil,#6 fuel oil,gallon,2021,0
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Biofuel,Biofuel,gallon,2021,19.95
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Electricity,Electricity,kWh,2021,6852433.12
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Natural gas,Natural gas,SCF,2021,6081653.79
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Steam,Steam,kg,2021,349564.88
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Electricity,Upstream Electricity,kWh,2021,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Steam,Upstream Steam,kg,2021,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Natural gas,Upstream Natural gas,SCF,2021,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Downstream Natural gas,Downstream Natural gas,SCF,2021,0
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#2 fuel oil,#2 fuel oil,gallon,2021,127663.79
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#4 fuel oil,#4 fuel oil,gallon,2021,18536.41
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#6 fuel oil,#6 fuel oil,gallon,2021,0
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Biofuel,Biofuel,gallon,2021,3.54
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Electricity,Electricity,kWh,2021,2460289.79
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Natural gas,Natural gas,SCF,2021,1370614.25
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Steam,Steam,kg,2021,104869.47
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Electricity,Upstream Electricity,kWh,2021,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Steam,Upstream Steam,kg,2021,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Natural gas,Upstream Natural gas,SCF,2021,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Downstream Natural gas,Downstream Natural gas,SCF,2021,0
GPC,Stationary Energy,Fugitive natural gas,Fugitive,CH4 - natural gas distribution,Fugitive CH4,GJ,2021,485188.04
GPC,Transportation,Railways,Railways,Electricity - subway and commuter rail,Electricity,kWh,2021,654198.85
GPC,Transportation,Railways,Railways,Diesel - commuter rail,Diesel,gallon,2021,15296.08
CLCPA Addition,Transportation,Railways,Railways,Upstream Electricity,Upstream Electricity,kWh,2021,0
GPC,Transportation,Marine Navigation,Marine Navigation,Diesel - marine navigation,Marine diesel,gallon,2021,92622.71
GPC,Transportation,Marine Navigation,Marine Navigation,Biofuel,Biofuel,gallon,2021,0
GPC,Transportation,Aviation,Aviation,Jet fuel - aviation,Jet fuel,gallon,2021,1404.71
GPC,Waste,Landfills,Landfills,Exported solid waste - landfills,CH4,MT,2021,1927824.57
GPC,Waste,Biological treatment,Biological treatment,CH4 and N2O - composting,CH4 and N2O from composting,MT,2021,7550.5
GPC,Waste,Wastewater treatment,Wastewater treatment,CH4 - wastewater treatment plants,CH4,MT,2021,63584.02
GPC,Waste,Wastewater treatment,Wastewater treatment,N2O - wastewater treatment plants,N2O,MT,2021,57280.18
GPC,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2021,12054820.41
GPC,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2021,399760.51
GPC,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2021,1462166.9
GPC,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2021,68212.11
GPC,Transportation,On-Road,On-Road,School Bus,School Bus,VMT,2021,63652.27
CLCPA Addition,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2021,0
CLCPA Addition,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2021,295.22
CLCPA Addition,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2021,5296.92
CLCPA Addition,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2021,9540.95
GPC,Transportation,On-Road,On-Road,Bus,Bus,VMT,2021,455592.29
CLCPA Addition,Transportation,On-Road,On-Road,Bus,Bus,VMT,2021,25662.96
GPC,Stationary Energy,Residential (small and large residential),Residential,#2 fuel oil,#2 fuel oil,gallon,2022,1096146.81
GPC,Stationary Energy,Residential (small and large residential),Residential,#4 fuel oil,#4 fuel oil,gallon,2022,445893.7
GPC,Stationary Energy,Residential (small and large residential),Residential,#6 fuel oil,#6 fuel oil,gallon,2022,0
GPC,Stationary Energy,Residential (small and large residential),Residential,Biofuel,Biofuel,gallon,2022,82.32
GPC,Stationary Energy,Residential (small and large residential),Residential,Electricity,Electricity,kWh,2022,4681763.73
GPC,Stationary Energy,Residential (small and large residential),Residential,Natural gas,Natural gas,SCF,2022,9970279.93
GPC,Stationary Energy,Residential (small and large residential),Residential,Steam,Steam,kg,2022,215187.49
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Electricity,Upstream Electricity,kWh,2022,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Steam,Upstream Steam,kg,2022,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Natural gas,Upstream Natural gas,SCF,2022,0
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Downstream Natural gas,Downstream Natural gas,SCF,2022,0
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#2 fuel oil,#2 fuel oil,gallon,2022,621148.79
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#4 fuel oil,#4 fuel oil,gallon,2022,79582.54
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,#6 fuel oil,#6 fuel oil,gallon,2022,0
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Biofuel,Biofuel,gallon,2022,20.72
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Electricity,Electricity,kWh,2022,6955574.96
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Natural gas,Natural gas,SCF,2022,6385593.55
GPC,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Steam,Steam,kg,2022,409431.58
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Electricity,Upstream Electricity,kWh,2022,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Steam,Upstream Steam,kg,2022,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Upstream Natural gas,Upstream Natural gas,SCF,2022,0
CLCPA Addition,Stationary Energy,Commercial and Institutional (commercial. institutional. and streetlights),Commercial and Institutional,Downstream Natural gas,Downstream Natural gas,SCF,2022,0
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#2 fuel oil,#2 fuel oil,gallon,2022,143200.6
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#4 fuel oil,#4 fuel oil,gallon,2022,17146.34
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,#6 fuel oil,#6 fuel oil,gallon,2022,0
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Biofuel,Biofuel,gallon,2022,3.68
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Electricity,Electricity,kWh,2022,2486108.76
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Natural gas,Natural gas,SCF,2022,1438492.34
GPC,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Steam,Steam,kg,2022,122829.47
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Electricity,Upstream Electricity,kWh,2022,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Steam,Upstream Steam,kg,2022,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Upstream Natural gas,Upstream Natural gas,SCF,2022,0
CLCPA Addition,Stationary Energy,Manufacturing and Construction (Industrial),Manufacturing and Construction,Downstream Natural gas,Downstream Natural gas,SCF,2022,0
GPC,Stationary Energy,Fugitive natural gas,Fugitive,CH4 - natural gas distribution,Fugitive CH4,GJ,2022,503805.87
GPC,Transportation,Railways,Railways,Electricity - subway and commuter rail,Electricity,kWh,2022,689503.64
GPC,Transportation,Railways,Railways,Diesel - commuter rail,Diesel,gallon,2022,16615.37
CLCPA Addition,Transportation,Railways,Railways,Upstream Electricity,Upstream Electricity,kWh,2022,0
GPC,Transportation,Marine Navigation,Marine Navigation,Diesel - marine navigation,Marine diesel,gallon,2022,93038.39
GPC,Transportation,Marine Navigation,Marine Navigation,Biofuel,Biofuel,gallon,2022,0
GPC,Transportation,Aviation,Aviation,Jet fuel - aviation,Jet fuel,gallon,2022,1422.13
GPC,Waste,Landfills,Landfills,Exported solid waste - landfills,CH4,MT,2022,1912703.71
GPC,Waste,Biological treatment,Biological treatment,CH4 and N2O - composting,CH4 and N2O from composting,MT,2022,8663.46
GPC,Waste,Wastewater treatment,Wastewater treatment,CH4 - wastewater treatment plants,CH4,MT,2022,89393.3
GPC,Waste,Wastewater treatment,Wastewater treatment,N2O - wastewater treatment plants,N2O,MT,2022,58363.1
GPC,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2022,12652887.64
GPC,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2022,423766.3
GPC,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2022,1516471.88
GPC,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2022,68337.04
GPC,Transportation,On-Road,On-Road,School Bus,School Bus,VMT,2022,63430.21
CLCPA Addition,Transportation,On-Road,On-Road,Passenger cars,Passenger cars,VMT,2022,0
CLCPA Addition,Transportation,On-Road,On-Road,Medium duty trucks,Medium duty trucks,VMT,2022,125.15
CLCPA Addition,Transportation,On-Road,On-Road,SWCV,SWCV,VMT,2022,6198.9
CLCPA Addition,Transportation,On-Road,On-Road,Heavy duty trucks,Heavy duty trucks,VMT,2022,11480.34
GPC,Transportation,On-Road,On-Road,Bus,Bus,VMT,2022,486650.49
CLCPA Addition,Transportation,On-Road,On-Road,Bus,Bus,VMT,2022,33744.97
